idx,subject,small_correct,small_entropy,small_energy,small_carbon,large_correct,large_entropy,large_energy,large_carbon
70,high_school_psychology,0,1.3876953125,1.2652024854878523,0.20032372686890995,1,0.0048828125,2.0623947954783644,0.32654584261740766
71,world_religions,1,0.33740234375,1.2802877958901309,0.20271223434927071,1,0.0012664794921875,2.2372175834207613,0.35422611737495385
72,professional_medicine,0,1.75390625,1.2363388079773519,0.19575364459641403,0,1.34375,6.773270459445625,1.072434489412224
73,high_school_geography,1,0.9404296875,1.4771787004368357,0.23388662756916562,1,0.000690460205078125,2.1162277314501594,0.33506939081294185
74,moral_disputes,0,1.3154296875,1.4886080780466784,0.2356962790240574,1,0.0008697509765625,4.413375111534719,0.6987843926596637
75,elementary_mathematics,1,1.75390625,1.4696552981779585,0.23269542221151007,1,0.030517578125,3.567543368004526,0.5648610332673834
76,miscellaneous,1,0.19921875,1.322791798997381,0.20944203484125198,1,0.000640869140625,2.540715355012667,0.4022799312103389
77,prehistory,1,1.40625,1.507883061425867,0.23874815139242891,1,0.0025634765625,3.505804541234176,0.5550857190287446
78,elementary_mathematics,0,1.71875,1.4976513820097208,0.2371281354848724,1,1.1953125,3.2309525563271952,0.5115674880851393
79,college_physics,0,1.90234375,1.2605601145573329,0.19958868480491104,1,1.625,3.8783545309213454,0.614072800729213
80,astronomy,1,1.556640625,1.2831796573226983,0.20317011240942723,0,1.2265625,3.4530084382840305,0.5467263360616381
81,professional_psychology,0,1.208984375,1.3653037971655004,0.21617310121787092,0,0.006561279296875,2.7630811613252004,0.43748785054315675
82,miscellaneous,1,1.2490234375,1.2954988842005264,0.20512065666508333,1,0.01055908203125,2.1428406235461916,0.339283098728147
83,professional_medicine,1,1.9423828125,1.304428933809487,0.20653458118650211,1,0.1640625,4.76975086409329,0.7552105534814377
84,professional_psychology,1,1.2099609375,1.3537130521448066,0.2143378999229277,1,0.482421875,2.627562935871361,0.4160307981796321
85,college_medicine,0,1.833984375,1.3527410864894391,0.21418400536082785,0,0.93359375,3.690331103669311,0.5843024247476409
86,human_aging,1,0.53466796875,1.39123583364717,0.22027900699413522,0,0.6953125,2.1149869540078927,0.33487293438458304
87,professional_law,0,1.3095703125,1.407216483783907,0.2228092765991186,1,0.84375,4.434885125069753,0.7021901448027109
88,nutrition,1,0.490966796875,1.4937380219537395,0.23650852014267543,0,1.3515625,2.1486993943098818,0.34021073743239794
89,moral_scenarios,0,1.69140625,1.4802293016459973,0.2343696394272829,1,0.26171875,3.5468931684536518,0.5615914183384949
90,professional_law,0,1.5859375,1.4520629676313366,0.22990996987496162,1,0.076171875,6.526128602229856,1.0333036953530605
91,nutrition,1,0.0248565673828125,1.4105630779006177,0.22333915400093113,1,0.00732421875,3.505998182848244,0.555116378950972
92,sociology,1,1.2001953125,1.2258415092004071,0.19409157229006443,1,0.1201171875,3.537999086510492,0.5601831886974946
93,high_school_statistics,0,1.3857421875,1.2447580158296105,0.19708668583968836,0,0.72265625,4.605750948322595,0.7292439001510775
94,marketing,0,1.4931640625,1.2872165214995677,0.2038092825707649,1,0.004608154296875,2.2667303248364195,0.3588989680990997
