idx,shannon_raw,shannon_cal,semantic_entropy,n_clusters,k,extra_energy_j,base_energy_j,overhead_x,wall_s,small_score
52,0.9259538734331727,10.510335041926457,1.584962500721156,3,3,784.4660208038357,43.19729164360823,19.16007418418582,10.237353300999985,5
53,1.1059957417752593,7.645399027665456,1.584962500721156,3,3,1687.6338561894652,565.9802276495265,3.9817894225706123,21.668005501999687,2
54,0.7071774601439635,5.910740757783254,1.584962500721156,3,3,1671.6315905898539,546.811604594297,4.057052148390502,21.672484498999893,2
55,1.8377302587932596,10.389639647801717,0.9182958340544896,2,3,997.1700307099093,574.5414358224971,2.7355928894534633,12.937529436000204,1
56,1.2970377345426152,10.572142307574932,0.9182958340544896,2,3,1664.5323214709529,48.498984980567585,35.32097232834651,21.597576869000022,1
57,1.56954164053003,8.256296604474386,1.584962500721156,3,3,1667.8598394172923,580.7175134653413,3.8720674006619817,21.509586849999778,3
58,1.357843024780353,8.22548039595286,1.584962500721156,3,3,1661.2143806482047,576.4458322696688,3.8818221724449335,21.3759967459996,5
59,1.115857606202266,7.359052900420992,1.584962500721156,3,3,1344.2563319168416,260.50026146911574,6.160287841308802,17.495950483999877,2
60,1.2317376583987087,6.725827804318181,1.584962500721156,3,3,687.7712355624819,197.59211924677436,4.480762482756304,8.979554692999955,3
61,1.8173134913834343,9.47581587944712,1.584962500721156,3,3,1425.3810760687093,314.78171067158655,5.528157220531205,18.40642764600034,3
62,1.5652510728851399,10.594375890844008,1.584962500721156,3,3,1661.0617654703324,322.54071623519627,6.149928929466034,21.26045201299985,2
63,1.4161136676867803,6.028594666322072,-0.0,1,3,1646.7935680087885,558.2449200803227,3.9499481477983545,21.408127666999917,4
64,0.8000104431994259,9.448263457843236,1.584962500721156,3,3,957.1858640604933,50.13057333597766,20.093854316115333,12.43352676099994,1
65,2.0372613442658136,11.532273928324381,1.584962500721156,3,3,1667.3655570258693,573.0923794622727,3.9094184755873793,21.32226095199985,2
66,1.3958588477348288,7.628949520985286,1.584962500721156,3,3,1670.4571978929814,575.6970100767994,3.901625627116143,21.492775379999784,3
67,0.6660050902732958,6.696006928384304,0.9182958340544896,2,3,1654.0006521984628,564.76678569343,3.9286436350318534,21.47455858000012,2
68,2.3430946838427875,10.439322217651036,1.584962500721156,3,3,1675.174561762948,506.2484880451585,4.308996671242441,21.565527568000107,1
69,0.7090607090947866,4.8627917640290015,1.584962500721156,3,3,1064.3331299372,222.8322626200573,5.776387034008416,13.714180513999963,5
70,2.0781426085717976,9.838924104472001,0.9182958340544896,2,3,1641.4974482135908,570.5203349370779,3.877193585737185,21.348074032000113,3
71,1.8469715966812024,9.75884267727534,1.584962500721156,3,3,1222.2363486782572,577.6401694141879,3.1159130084699354,15.842886784999791,3
72,1.9801475878090908,11.173654601573944,-0.0,1,3,1656.6661873269063,565.1572672918995,3.931336608773095,21.229178303000026,3
73,1.464644085234031,7.524220867057641,1.584962500721156,3,3,1650.106790997442,567.4501760825581,3.9079324679905794,21.18411606699965,3
74,1.8527407109768441,9.905710559686025,1.584962500721156,3,3,1640.4055295309672,581.778540883903,3.819639113946485,21.392725727000197,2
75,0.9547013349776321,6.707871787688312,0.9182958340544896,2,3,525.9646154652482,127.4103890608909,5.128114036398427,6.851595053999972,4
76,2.094088024223844,9.740771346489588,0.9182958340544896,2,3,1665.321236107558,560.0934141587885,3.9732919438246306,21.609341650999795,2
77,1.9720020637327393,11.00027508549876,1.584962500721156,3,3,1158.3701029623028,278.3079496554926,5.162188339917014,14.836443891999807,5
78,2.038082778889119,9.420088602796845,1.584962500721156,3,3,783.9566137573745,160.68662581822073,5.8787919328409926,10.295422311000038,4
79,0.9450102341361344,9.119949506990837,1.584962500721156,3,3,757.9912248549209,117.20431704893386,7.467263697620052,9.968087228000059,2
